"filename", "language", "Python", "JSON", "XML", "YAML", "Docker", "Shell Script", "comment", "blank", "total"
"e:\Competition\ChuangXinBei\face\Face_recognition\Baidu_keys.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\Competition\ChuangXinBei\face\Face_recognition\Client_Application.py", "Python", 106, 0, 0, 0, 0, 0, 22, 11, 139
"e:\Competition\ChuangXinBei\face\Face_recognition\Database_init.py", "Python", 17, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Competition\ChuangXinBei\face\Face_recognition\Face_Register.py", "Python", 54, 0, 0, 0, 0, 0, 2, 6, 62
"e:\Competition\ChuangXinBei\face\Face_recognition\Live_Detection\detect.py", "Python", 34, 0, 0, 0, 0, 0, 4, 1, 39
"e:\Competition\ChuangXinBei\face\Face_recognition\Live_Detection\functional.py", "Python", 442, 0, 0, 0, 0, 0, 16, 131, 589
"e:\Competition\ChuangXinBei\face\Face_recognition\Live_Detection\model.py", "Python", 229, 0, 0, 0, 0, 0, 9, 58, 296
"e:\Competition\ChuangXinBei\face\Face_recognition\Live_Detection\transform.py", "Python", 261, 0, 0, 0, 0, 0, 7, 79, 347
"e:\Competition\ChuangXinBei\face\Face_recognition\Server_Application.py", "Python", 76, 0, 0, 0, 0, 0, 18, 20, 114
"e:\Competition\ChuangXinBei\face\Face_recognition\detect.py", "Python", 134, 0, 0, 0, 0, 0, 17, 28, 179
"e:\Competition\ChuangXinBei\face\Face_recognition\face_feature_detect\haarcascade_frontalcatface.xml", "XML", 0, 0, 14287, 0, 0, 0, 95, 1, 14383
"e:\Competition\ChuangXinBei\face\Face_recognition\face_feature_detect\haarcascade_frontalface_default.xml", "XML", 0, 0, 33271, 0, 0, 0, 43, 1, 33315
"e:\Competition\ChuangXinBei\face\Face_recognition\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Competition\ChuangXinBei\face\Face_recognition\models\common.py", "Python", 280, 0, 0, 0, 0, 0, 35, 72, 387
